Law,Index,LawName,CleanLaw
"(1)(2)
 Takdiri indirim nedenleri
 Madde 62- (1) Fail yararına cezayı hafifletecek takdiri nedenlerin varlığı halinde, ağırlaştırılmış müebbet hapis cezası yerine,
 müebbet hapis; müebbet hapis cezası yerine, yirmibeş yıl hapis cezası verilir",62,Madde 62, takdiri indirim nedenleri madde fail yararına cezayı hafifletecek takdiri nedenlerin varlığı halinde ağırlaştırılmış müebbet hapis cezası müebbet hapis müebbet hapis cezası yirmibeş yıl hapis cezası verilir
[' Diğer cezaların altıda birine kadarı indirilir'],62,Madde 62, cezaların altıda kadarı indirilir
"
 (3)
 (2) Takdiri indirim nedeni olarak, failin geçmişi, sosyal ilişkileri, fiilden sonraki ve yargılama sürecindeki pişmanlığını gösteren
 davranışları veya cezanın failin geleceği üzerindeki olası etkileri (…)(4) göz önünde bulundurulabilir",62,Madde 62, takdiri indirim nedeni failin geçmişi sosyal ilişkileri fiilden sonraki yargılama sürecindeki pişmanlığını gösteren davranışları cezanın failin geleceği üzerindeki olası etkileri göz önünde bulundurulabilir
[' (Ek cümle:12/5/2022-7406/1 md'],62,Madde 62, ek cümle md
")
 Ancak failin duruşmadaki mahkemeyi etkilemeye yönelik şeklî tutum ve davranışları, takdiri indirim nedeni olarak dikkate alınmaz",62,Madde 62, failin duruşmadaki mahkemeyi etkilemeye yönelik şeklî tutum davranışları takdiri indirim nedeni dikkate alınmaz
" Takdiri
 indirim nedenleri kararda gerekçeleriyle gösterilir",62,Madde 62, takdiri indirim nedenleri kararda gerekçeleriyle gösterilir
"(4)
 Mahsup
 Madde 63- (1) Hüküm kesinleşmeden önce gerçekleşen ve şahsi hürriyeti sınırlama sonucunu doğuran bütün haller nedeniyle
 geçirilmiş süreler, hükmolunan hapis cezasından indirilir",63,Madde 63, mahsup madde hüküm kesinleşmeden gerçekleşen şahsi hürriyeti sınırlama sonucunu doğuran haller geçirilmiş süreler hükmolunan hapis cezasından indirilir
" Adlî para cezasına hükmedilmesi durumunda, bir gün yüz Türk Lirası sayılmak
 üzere, bu cezadan indirim yapılır",63,Madde 63, adlî para cezasına hükmedilmesi durumunda gün türk lirası sayılmak cezadan indirim yapılır
"
 DÖRDÜNCÜ BÖLÜM
 Dava ve Cezanın Düşürülmesi
 Sanığın veya hükümlünün ölümü
 Madde 64- (1) Sanığın ölümü halinde kamu davasının düşürülmesine karar verilir",64,Madde 64, dördüncü bölüm dava cezanın düşürülmesi sanığın hükümlünün ölümü madde sanığın ölümü halinde kamu davasının düşürülmesine karar verilir
" Ancak, niteliği itibarıyla müsadereye tabi eşya ve
 maddi menfaatler hakkında davaya devam olunarak bunların müsaderesine hükmolunabilir",64,Madde 64, niteliği müsadereye tabi eşya maddi menfaatler hakkında davaya devam olunarak müsaderesine hükmolunabilir
"
 (2) Hükümlünün ölümü, hapis ve henüz infaz edilmemiş adlî para cezalarını ortadan kaldırır",64,Madde 64, hükümlünün ölümü hapis infaz edilmemiş adlî para cezalarını ortadan kaldırır
" Ancak, müsadereye ve yargılama
 giderlerine ilişkin olup ölümden önce kesinleşmiş bulunan hüküm, infaz olunur",64,Madde 64, müsadereye yargılama giderlerine ilişkin ölümden kesinleşmiş bulunan hüküm infaz olunur
"
 ––––––––––––––––––––
 (1)Bu fıkranın numarası (7) iken, maddeye 29/6/2005 tarihli ve 5377 sayılı Kanunun 1 inci maddesiyle, altıncı fıkradan sonra gelmek üzere yedinci ve sekizinci
 fıkra eklendiği için, (9) olarak teselsül ettirilmiştir",64,Madde 64, fıkranın numarası maddeye tarihli sayılı kanunun inci maddesiyle altıncı fıkradan gelmek yedinci sekizinci fıkra eklendiği teselsül ettirilmiştir
"
 (2)Bu fıkranın numarası (9) iken, maddeye 6/12/2006 tarihli ve 5560 sayılı Kanunun 1 inci maddesiyle, sekizinci fıkradan sonra gelmek üzere (9) numaralı fıkra
 eklendiği için, (10) olarak teselsül ettirilmiştir",64,Madde 64, fıkranın numarası maddeye tarihli sayılı kanunun inci maddesiyle sekizinci fıkradan gelmek numaralı fıkra eklendiği teselsül ettirilmiştir
"
 (3)Bu fıkrada yer alan “beşte” ibaresi, 31/3/2005 tarihli ve 5328 sayılı Kanunun 2 nci maddesiyle “altıda” olarak değiştirilmiş ve metne işlenmiştir",64,Madde 64, fıkrada yer alan beşte ibaresi tarihli sayılı kanunun nci maddesiyle altıda değiştirilmiş metne işlenmiştir
"
 (4) 12/5/2022 tarihli ve 7406 sayılı Kanunun 1 inci maddesiyle bu fıkrada yer alan “sürecindeki davranışları,” ibaresi “sürecindeki pişmanlığını gösteren
 davranışları veya” şeklinde değiştirilmiş ve “gibi hususlar” ibaresi madde metninden çıkarılmış, fıkraya “kararda” ibaresinden sonra gelmek üzere
 “gerekçeleriyle” ibaresi eklenmiştir",64,Madde 64, tarihli sayılı kanunun inci maddesiyle fıkrada yer alan sürecindeki davranışları ibaresi sürecindeki pişmanlığını gösteren davranışları şeklinde değiştirilmiş hususlar ibaresi madde metninden çıkarılmış fıkraya kararda ibaresinden gelmek gerekçeleriyle ibaresi eklenmiştir
"
 8982
 Af
  Madde 65- (1) Genel af halinde, kamu davası düşer, hükmolunan cezalar bütün neticeleri ile birlikte ortadan kalkar",65,Madde 65, af madde genel af halinde kamu davası düşer hükmolunan cezalar neticeleri ortadan kalkar
"
 (2) Özel af ile hapis cezasının infaz kurumunda çektirilmesine son verilebilir veya infaz kurumunda çektirilecek süresi
 kısaltılabilir ya da adlî para cezasına çevrilebilir",65,Madde 65, özel af hapis cezasının infaz kurumunda çektirilmesine son verilebilir infaz kurumunda çektirilecek süresi kısaltılabilir adlî para cezasına çevrilebilir
"
 (3) Cezaya bağlı olan veya hükümde belirtilen hak yoksunlukları, özel affa rağmen etkisini devam ettirir",65,Madde 65, cezaya bağlı hükümde belirtilen hak yoksunlukları özel affa etkisini devam ettirir
"
 Dava zamanaşımı
 Madde 66- (1) Kanunda başka türlü yazılmış olan haller dışında kamu davası;
 a) Ağırlaştırılmış müebbet hapis cezasını gerektiren suçlarda otuz yıl,
 b) Müebbet hapis cezasını gerektiren suçlarda yirmibeş yıl,
 c) Yirmi yıldan aşağı olmamak üzere hapis cezasını gerektiren suçlarda yirmi yıl,
 d) Beş yıldan fazla ve yirmi yıldan az hapis cezasını gerektiren suçlarda onbeş yıl,
 e) Beş yıldan fazla olmamak üzere hapis veya adlî para cezasını gerektiren suçlarda sekiz yıl,
 Geçmesiyle düşer",66,Madde 66, dava zamanaşımı madde kanunda türlü yazılmış haller dışında kamu davası ağırlaştırılmış müebbet hapis cezasını gerektiren suçlarda yıl müebbet hapis cezasını gerektiren suçlarda yirmibeş yıl yıldan aşağı olmamak hapis cezasını gerektiren suçlarda yıl beş yıldan yıldan hapis cezasını gerektiren suçlarda onbeş yıl beş yıldan olmamak hapis adlî para cezasını gerektiren suçlarda yıl geçmesiyle düşer
"
 (2) Fiili işlediği sırada oniki yaşını doldurmuş olup da onbeş yaşını doldurmamış olanlar hakkında, bu sürelerin
 yarısının; onbeş yaşını doldurmuş olup da onsekiz yaşını doldurmamış olan kişiler hakkında ise, üçte ikisinin geçmesiyle
 kamu davası düşer",66,Madde 66, fiili işlediği sırada oniki yaşını doldurmuş onbeş yaşını doldurmamış olanlar hakkında sürelerin yarısının onbeş yaşını doldurmuş onsekiz yaşını doldurmamış kişiler hakkında üçte ikisinin geçmesiyle kamu davası düşer
"
 (3) Dava zamanaşımı süresinin belirlenmesinde dosyadaki mevcut deliller itibarıyla suçun daha ağır cezayı gerektiren
 nitelikli halleri de göz önünde bulundurulur",66,Madde 66, dava zamanaşımı süresinin belirlenmesinde dosyadaki mevcut deliller suçun ağır cezayı gerektiren nitelikli halleri göz önünde bulundurulur
"
 (4) Yukarıdaki fıkralarda yer alan sürelerin belirlenmesinde suçun kanunda yer alan cezasının yukarı sınırı göz
 önünde bulundurulur; seçimlik cezaları gerektiren suçlarda zamanaşımı bakımından hapis cezası esas alınır",66,Madde 66, yukarıdaki fıkralarda yer alan sürelerin belirlenmesinde suçun kanunda yer alan cezasının yukarı sınırı göz önünde bulundurulur seçimlik cezaları gerektiren suçlarda zamanaşımı bakımından hapis cezası esas alınır
"
 (5) (Değişik: 29/6/2005 – 5377/8 md",66,Madde 66, değişik md
") Aynı fiilden dolayı tekrar yargılamayı gerektiren hallerde, mahkemece bu
 husustaki talebin kabul edildiği tarihten itibaren fiile ilişkin zamanaşımı süresi yeni baştan işlemeye başlar",66,Madde 66, aynı fiilden tekrar yargılamayı gerektiren hallerde mahkemece husustaki talebin kabul edildiği tarihten fiile ilişkin zamanaşımı süresi yeni baştan işlemeye başlar
"
 (6) Zamanaşımı, tamamlanmış suçlarda suçun işlendiği günden, teşebbüs halinde kalan suçlarda son hareketin
 yapıldığı günden, kesintisiz suçlarda kesintinin gerçekleştiği ve zincirleme suçlarda son suçun işlendiği günden, çocuklara
 karşı üstsoy veya bunlar üzerinde hüküm ve nüfuzu olan kimseler tarafından işlenen suçlarda çocuğun onsekiz yaşını bitirdiği
 günden itibaren işlemeye başlar",66,Madde 66, zamanaşımı tamamlanmış suçlarda suçun işlendiği günden teşebbüs halinde kalan suçlarda son hareketin yapıldığı günden kesintisiz suçlarda kesintinin gerçekleştiği zincirleme suçlarda son suçun işlendiği günden çocuklara karşı üstsoy üzerinde hüküm nüfuzu kimseler işlenen suçlarda çocuğun onsekiz yaşını bitirdiği günden işlemeye başlar
"
 (7) Bu Kanunun İkinci Kitabının Dördüncü Kısmında yazılı ağırlaştırılmış müebbet veya müebbet veya on yıldan
 fazla hapis cezalarını gerektiren suçların yurt dışında işlenmesi halinde dava zamanaşımı uygulanmaz",66,Madde 66, kanunun ikinci kitabının dördüncü kısmında yazılı ağırlaştırılmış müebbet müebbet yıldan hapis cezalarını gerektiren suçların yurt dışında işlenmesi halinde dava zamanaşımı uygulanmaz
"
 Dava zamanaşımı süresinin durması veya kesilmesi
 Madde 67- (1) Soruşturma ve kovuşturma yapılmasının, izin veya karar alınması veya diğer bir mercide çözülmesi
 gereken bir meselenin sonucuna bağlı bulunduğu hallerde; izin veya kararın alınmasına veya meselenin çözümüne veya
 kanun gereğince hakkında kaçak olduğu hususunda karar verilmiş olan suç faili hakkında bu karar kaldırılıncaya kadar dava
 zamanaşımı durur",67,Madde 67, dava zamanaşımı süresinin durması kesilmesi madde soruşturma kovuşturma yapılmasının izin karar alınması mercide çözülmesi gereken meselenin sonucuna bağlı bulunduğu hallerde izin kararın alınmasına meselenin çözümüne kanun gereğince hakkında kaçak hususunda karar verilmiş suç faili hakkında karar kaldırılıncaya dava zamanaşımı durur
"
 8983
 (2) Bir suçla ilgili olarak;
 a) Şüpheli veya sanıklardan birinin savcı huzurunda ifadesinin alınması veya sorguya çekilmesi,
 b) Şüpheli veya sanıklardan biri hakkında tutuklama kararının verilmesi,
 c) Suçla ilgili olarak iddianame düzenlenmesi,
 d) Sanıklardan bir kısmı hakkında da olsa, mahkûmiyet kararı verilmesi,
 Halinde, dava zamanaşımı kesilir",67,Madde 67, suçla şüpheli sanıklardan savcı huzurunda ifadesinin alınması sorguya çekilmesi şüpheli sanıklardan hakkında tutuklama kararının verilmesi suçla iddianame düzenlenmesi sanıklardan kısmı hakkında mahkûmiyet kararı verilmesi halinde dava zamanaşımı kesilir
"
 (3) Dava zamanaşımı kesildiğinde, zamanaşımı süresi yeniden işlemeye başlar",67,Madde 67, dava zamanaşımı kesildiğinde zamanaşımı süresi işlemeye başlar
" Dava zamanaşımını kesen birden fazla
 nedenin bulunması halinde, zamanaşımı süresi son kesme nedeninin gerçekleştiği tarihten itibaren yeniden işlemeye başlar",67,Madde 67, dava zamanaşımını kesen nedenin bulunması halinde zamanaşımı süresi son kesme nedeninin gerçekleştiği tarihten işlemeye başlar
"
 (4) Kesilme halinde, zamanaşımı süresi ilgili suça ilişkin olarak Kanunda belirlenen sürenin en fazla yarısına kadar
 uzar",67,Madde 67, kesilme halinde zamanaşımı süresi suça ilişkin kanunda belirlenen sürenin yarısına uzar
"
 Ceza zamanaşımı
 Madde 68- (1) Bu maddede yazılı cezalar aşağıdaki sürelerin geçmesiyle infaz edilmez:
 a) Ağırlaştırılmış müebbet hapis cezalarında kırk yıl",68,Madde 68, ceza zamanaşımı madde maddede yazılı cezalar aşağıdaki sürelerin geçmesiyle infaz edilmez ağırlaştırılmış müebbet hapis cezalarında kırk yıl
"
 b) Müebbet hapis cezalarında otuz yıl",68,Madde 68, müebbet hapis cezalarında yıl
"
 c) Yirmi yıl ve daha fazla süreli hapis cezalarında yirmidört yıl",68,Madde 68, yıl süreli hapis cezalarında yirmidört yıl
"
 d) Beş yıldan fazla hapis cezalarında yirmi yıl",68,Madde 68, beş yıldan hapis cezalarında yıl
"
 e) Beş yıla kadar hapis ve adlî para cezalarında on yıl",68,Madde 68, beş yıla hapis adlî para cezalarında yıl
"
 (2) Fiili işlediği sırada oniki yaşını doldurmuş olup da onbeş yaşını doldurmamış olanlar hakkında, bu sürelerin
 yarısının; onbeş yaşını doldurmuş olup da onsekiz yaşını doldurmamış olan kişiler hakkında ise, üçte ikisinin geçmesiyle
 ceza infaz edilmez",68,Madde 68, fiili işlediği sırada oniki yaşını doldurmuş onbeş yaşını doldurmamış olanlar hakkında sürelerin yarısının onbeş yaşını doldurmuş onsekiz yaşını doldurmamış kişiler hakkında üçte ikisinin geçmesiyle ceza infaz edilmez
"
 (3) Bu Kanunun İkinci Kitabının Dördüncü Kısmında yazılı yurt dışında işlenmiş suçlar dolayısıyla verilmiş
 ağırlaştırılmış müebbet hapis veya müebbet hapis veya on yıldan fazla hapis cezalarında zamanaşımı uygulanmaz",68,Madde 68, kanunun ikinci kitabının dördüncü kısmında yazılı yurt dışında işlenmiş suçlar verilmiş ağırlaştırılmış müebbet hapis müebbet hapis yıldan hapis cezalarında zamanaşımı uygulanmaz
"
 (4) Türleri başka başka cezaları içeren hükümler, en ağır ceza için konulan sürenin geçmesiyle infaz edilmez",68,Madde 68, türleri cezaları içeren hükümler ağır ceza konulan sürenin geçmesiyle infaz edilmez
"
 (5) Ceza zamanaşımı, hükmün kesinleştiği veya infazın herhangi bir suretle kesintiye uğradığı günden itibaren
 işlemeye başlar ve kalan ceza miktarı esas alınarak süre hesaplanır",68,Madde 68, ceza zamanaşımı hükmün kesinleştiği infazın suretle kesintiye uğradığı günden işlemeye başlar kalan ceza miktarı esas alınarak süre hesaplanır
"
 Ceza zamanaşımı ve hak yoksunlukları
 Madde 69- (1) Cezaya bağlı olan veya hükümde belirtilen hak yoksunluklarının süresi ceza zamanaşımı doluncaya
 kadar devam eder",69,Madde 69, ceza zamanaşımı hak yoksunlukları madde cezaya bağlı hükümde belirtilen hak yoksunluklarının süresi ceza zamanaşımı doluncaya devam eder
"
 Müsaderede zamanaşımı
  Madde 70- (1) Müsadereye ilişkin hüküm, kesinleşmeden itibaren yirmi yıl geçtikten sonra infaz edilmez",70,Madde 70, müsaderede zamanaşımı madde müsadereye ilişkin hüküm kesinleşmeden yıl geçtikten infaz edilmez
"
 Ceza zamanaşımının kesilmesi
 Madde 71- (1) Mahkûmiyet hükmünün infazı için yetkili merci tarafından hükümlüye kanuna göre yapılan tebligat
 veya bu maksatla hükümlünün yakalanması ceza zamanaşımını keser",71,Madde 71, ceza zamanaşımının kesilmesi madde mahkûmiyet hükmünün infazı yetkili merci hükümlüye kanuna tebligat maksatla hükümlünün yakalanması ceza zamanaşımını keser
"
 (2) Bir suçtan dolayı mahkûm olan kimse üst sınırı iki yıldan fazla hapis cezasını gerektiren kasıtlı bir suç işlediği
 takdirde, ceza zamanaşımı kesilir",71,Madde 71, suçtan mahkûm üst sınırı yıldan hapis cezasını gerektiren kasıtlı suç işlediği takdirde ceza zamanaşımı kesilir
"
 8984
 Zamanaşımının hesabı ve uygulanması
  Madde 72- (1) Dava ve ceza zamanaşımı süreleri gün, ay ve yıl hesabıyla belirlenir",72,Madde 72, zamanaşımının hesabı uygulanması madde dava ceza zamanaşımı süreleri gün ay yıl hesabıyla belirlenir
" Bir gün, yirmidört saat; bir ay,
 otuz gündür",72,Madde 72, gün yirmidört saat ay gündür
"[' Yıl, resmi takvime göre hesap edilir']",72,Madde 72, yıl resmi takvime hesap edilir
"
 (2) Dava ve ceza zamanaşımı re'sen uygulanır ve bundan şüpheli, sanık ve hükümlü vazgeçemezler",72,Madde 72, dava ceza zamanaşımı re uygulanır şüpheli sanık hükümlü vazgeçemezler
"
 Soruşturulması ve kovuşturulması şikayete bağlı suçlar(1)
 Madde 73- (1) Soruşturulması ve kovuşturulması şikayete bağlı olan suç hakkında yetkili kimse altı ay içinde
 şikayette bulunmadığı takdirde soruşturma ve kovuşturma yapılamaz",73,Madde 73, soruşturulması kovuşturulması şikayete bağlı suçlar madde soruşturulması kovuşturulması şikayete bağlı suç hakkında yetkili altı ay içinde şikayette bulunmadığı takdirde soruşturma kovuşturma yapılamaz
"
 (2) Zamanaşımı süresini geçmemek koşuluyla bu süre, şikayet hakkı olan kişinin fiili ve failin kim olduğunu bildiği
 veya öğrendiği günden başlar",73,Madde 73, zamanaşımı süresini geçmemek koşuluyla süre şikayet hakkı kişinin fiili failin bildiği öğrendiği günden başlar
"
 (3) Şikayet hakkı olan birkaç kişiden birisi altı aylık süreyi geçirirse bundan dolayı diğerlerinin hakları düşmez",73,Madde 73, şikayet hakkı kişiden altı aylık süreyi geçirirse diğerlerinin hakları düşmez
"
 (4) Kovuşturma yapılabilmesi şikayete bağlı suçlarda kanunda aksi yazılı olmadıkça suçtan zarar gören kişinin
 vazgeçmesi davayı düşürür ve hükmün kesinleşmesinden sonraki vazgeçme cezanın infazına engel olmaz",73,Madde 73, kovuşturma yapılabilmesi şikayete bağlı suçlarda kanunda aksi yazılı olmadıkça suçtan zarar gören kişinin vazgeçmesi davayı düşürür hükmün kesinleşmesinden sonraki vazgeçme cezanın infazına engel olmaz
"
 (5) İştirak halinde suç işlemiş sanıklardan biri hakkındaki şikayetten vazgeçme, diğerlerini de kapsar",73,Madde 73, iştirak halinde suç işlemiş sanıklardan hakkındaki şikayetten vazgeçme diğerlerini kapsar
"
 (6) Kanunda aksi yazılı olmadıkça, vazgeçme onu kabul etmeyen sanığı etkilemez",73,Madde 73, kanunda aksi yazılı olmadıkça vazgeçme kabul etmeyen sanığı etkilemez
"
 (7) Kamu davasının düşmesi, suçtan zarar gören kişinin şikayetten vazgeçmiş olmasından ileri gelmiş ve vazgeçtiği
 sırada şahsi haklarından da vazgeçtiğini ayrıca açıklamış ise artık hukuk mahkemesinde de dava açamaz",73,Madde 73, kamu davasının düşmesi suçtan zarar gören kişinin şikayetten vazgeçmiş olmasından ileri gelmiş vazgeçtiği sırada şahsi haklarından vazgeçtiğini açıklamış hukuk mahkemesinde dava açamaz
"
 (8) (Mülga: 6/12/2006 – 5560/45 md",73,Madde 73, mülga md
")
 Dava veya cezanın düşmesinin etkisi
 Madde 74- (1) Genel af, özel af ve şikayetten vazgeçme, müsadere olunan şeylerin veya ödenen adlî para cezasının
 geri alınmasını gerektirmez",74,Madde 74, dava cezanın düşmesinin etkisi madde genel af özel af şikayetten vazgeçme müsadere olunan şeylerin ödenen adlî para cezasının geri alınmasını gerektirmez
"
 (2) Kamu davasının düşmesi, malların geri alınması ve uğranılan zararın tazmini için açılan şahsi hak davasını
 etkilemez",74,Madde 74, kamu davasının düşmesi malların geri alınması uğranılan zararın tazmini açılan şahsi hak davasını etkilemez
"
 (3) Cezanın düşmesi şahsi haklar, tazminat ve yargılama giderlerine ilişkin hükümleri etkilemez",74,Madde 74, cezanın düşmesi şahsi haklar tazminat yargılama giderlerine ilişkin hükümleri etkilemez
" Ancak, genel af
 halinde yargılama giderleri de istenemez",74,Madde 74, genel af halinde yargılama giderleri istenemez
"
 Önödeme (2)
 Madde 75- (1) Uzlaşma kapsamındaki suçlar hariç olmak üzere, yalnız adlî para cezasını gerektiren veya kanun
 maddesinde öngörülen hapis cezasının yukarı sınırı altı ayı aşmayan suçların faili;
 a) Adlî para cezası maktu ise bu miktarı, değilse aşağı sınırını,
 b) Hapis cezasının aşağı sınırının karşılığı olarak her gün için otuz Türk Lirası üzerinden bulunacak miktarı,
 c) Hapis cezası ile birlikte adlî para cezası da öngörülmüş ise, hapis cezası için bu fıkranın (b) bendine göre
 belirlenecek miktar ile adlî para cezasının aşağı sınırını,
 –––––––––––––––––––––
 (1) Bu başlıkta yer alan “, uzlaşma” ibaresi, 19/12/2006 tarihli ve 5560 sayılı Kanunun 2 nci maddesiyle metinden çıkarılmıştır",75,Madde 75, önödeme madde uzlaşma kapsamındaki suçlar adlî para cezasını gerektiren kanun maddesinde öngörülen hapis cezasının yukarı sınırı altı ayı aşmayan suçların faili adlî para cezası maktu miktarı değilse aşağı sınırını hapis cezasının aşağı sınırının karşılığı gün türk lirası üzerinden bulunacak miktarı hapis cezası adlî para cezası öngörülmüş hapis cezası fıkranın bendine belirlenecek miktar adlî para cezasının aşağı sınırını başlıkta yer alan uzlaşma ibaresi tarihli sayılı kanunun nci maddesiyle metinden çıkarılmıştır
"
 (2) 24/11/2016 tarihli ve 6763 sayılı Kanunun 12 nci maddesiyle, bu maddenin birinci fıkrasında yer alan “üç” ibaresi “altı” şeklinde,
 “yirmi” ibaresi “otuz” şeklinde değiştirilmiştir",75,Madde 75, tarihli sayılı kanunun nci maddesiyle maddenin birinci fıkrasında yer alan ibaresi altı şeklinde ibaresi şeklinde değiştirilmiştir
"
 8985
 Soruşturma giderleri ile birlikte, Cumhuriyet savcılığınca yapılacak tebliğ üzerine on gün içinde ödediği takdirde
 hakkında kamu davası açılmaz",75,Madde 75, soruşturma giderleri cumhuriyet savcılığınca yapılacak tebliğ üzerine gün içinde ödediği takdirde hakkında kamu davası açılmaz
[' (Ek cümleler:17/10/2019-7188/16 md'],75,Madde 75, ek cümleler md
") Failin on gün içinde talep etmesi koşuluyla bu
 miktarın birer ay ara ile üç eşit taksit hâlinde ödenmesine Cumhuriyet savcısı tarafından karar verilir",75,Madde 75, failin gün içinde talep koşuluyla miktarın birer ay ara eşit taksit hâlinde ödenmesine cumhuriyet savcısı karar verilir
" Taksitlerin süresinde
 ödenmemesi hâlinde önödeme hükümsüz kalır ve soruşturmaya devam edilir",75,Madde 75, taksitlerin süresinde ödenmemesi hâlinde önödeme hükümsüz kalır soruşturmaya devam edilir
[' (Ek cümle: 24/11/2016-6763/12 md'],75,Madde 75, ek cümle md
") Taksirli
 suçlar hariç olmak üzere, önödemeye bağlı olarak kovuşturmaya yer olmadığına veya kamu davasının düşmesine karar
 verildiği tarihten itibaren beş yıl içinde önödemeye tabi bir suçu işleyen faile bu fıkra uyarınca teklif edilecek önödeme
 miktarı yarı oranında artırılır",75,Madde 75, taksirli suçlar önödemeye bağlı kovuşturmaya yer olmadığına kamu davasının düşmesine karar verildiği tarihten beş yıl içinde önödemeye tabi suçu işleyen faile fıkra uyarınca teklif önödeme miktarı yarı oranında artırılır
"
 (2) Özel kanun hükümleri gereğince işin doğrudan mahkemeye intikal etmesi halinde de fail, hakim tarafından
 yapılacak bildirim üzerine birinci fıkra hükümlerine göre saptanacak miktardaki parayı yargılama giderleriyle birlikte
 ödediğinde kamu davası düşer",75,Madde 75, özel kanun hükümleri gereğince işin doğrudan mahkemeye intikal halinde fail hakim yapılacak bildirim üzerine birinci fıkra hükümlerine saptanacak miktardaki parayı yargılama giderleriyle ödediğinde kamu davası düşer
"
 (3) Cumhuriyet savcılığınca madde kapsamına giren suç nedeniyle önödeme işlemi yapılmadan dava açılması veya
 dava konusu fiilin niteliğinin değişmesi suretiyle madde kapsamına giren bir suça dönüşmesi halinde de yukarıdaki fıkra
 uygulanır",75,Madde 75, cumhuriyet savcılığınca madde kapsamına giren suç önödeme işlemi yapılmadan dava açılması dava konusu fiilin niteliğinin değişmesi suretiyle madde kapsamına giren suça dönüşmesi halinde yukarıdaki fıkra uygulanır
"
 (4) Suçla ilgili kanun maddesinde yukarı sınırı altı ayı aşmayan hapis cezası veya adlî para cezasından yalnız birinin
 uygulanabileceği hallerde ödenmesi gereken miktar, yukarıdaki fıkralara göre adlî para cezası esas alınarak belirlenir",75,Madde 75, suçla kanun maddesinde yukarı sınırı altı ayı aşmayan hapis cezası adlî para cezasından uygulanabileceği hallerde ödenmesi gereken miktar yukarıdaki fıkralara adlî para cezası esas alınarak belirlenir
" (1)
 (5) Bu madde gereğince kamu davasının açılmaması veya ortadan kaldırılması, kişisel hakkın istenmesine, malın geri
 alınmasına ve müsadereye ilişkin hükümleri etkilemez",75,Madde 75, madde gereğince kamu davasının açılmaması ortadan kaldırılması kişisel hakkın istenmesine malın geri alınmasına müsadereye ilişkin hükümleri etkilemez
"
 (6) (Ek: 24/11/2016-6763/12 md",75,Madde 75, ek md
") Bu madde hükümleri;
 a) Bu Kanunda yer alan;
 1. Yardım veya bildirim yükümlülüğünün yerine getirilmemesi (98 inci maddenin birinci fıkrası),
 2. Genel güvenliğin taksirle tehlikeye sokulması (madde 171),
 3. Çevrenin taksirle kirletilmesi (182 nci maddenin birinci fıkrası),
 4. Özel işaret ve kıyafetleri usulsüz kullanma (264 üncü maddenin birinci fıkrası),
 5. Suçu bildirmeme (278 inci maddenin birinci ve ikinci fıkraları),
 suçları,
 b) 31/8/1956 tarihli ve 6831 sayılı Orman Kanununun 108 inci maddesinin birinci fıkrasında yer alan suç,
 c) (Ek:17/10/2019-7188/16 md",75,Madde 75, madde hükümleri kanunda yer alan yardım bildirim yükümlülüğünün getirilmemesi inci maddenin birinci fıkrası genel güvenliğin taksirle tehlikeye sokulması madde çevrenin taksirle kirletilmesi nci maddenin birinci fıkrası özel işaret kıyafetleri usulsüz kullanma üncü maddenin birinci fıkrası suçu bildirmeme inci maddenin birinci ikinci fıkraları suçları tarihli sayılı orman kanununun inci maddesinin birinci fıkrasında yer alan suç ek md
") 21/7/1983 tarihli ve 2863 sayılı Kültür ve Tabiat Varlıklarını Koruma Kanununun
 74 üncü maddesinin ikinci fıkrasının birinci cümlesinde yer alan suç,
 d) (Ek:17/10/2019-7188/16 md",75,Madde 75, tarihli sayılı kültür tabiat varlıklarını koruma kanununun üncü maddesinin ikinci fıkrasının birinci cümlesinde yer alan suç ek md
") 4/11/2004 tarihli ve 5253 sayılı Dernekler Kanununun 32 nci maddesinin birinci
 fıkrasının (d) bendinde yer alan suç,
 bakımından da uygulanır",75,Madde 75, tarihli sayılı dernekler kanununun nci maddesinin birinci fıkrasının bendinde yer alan suç bakımından uygulanır
" Bu fıkra kapsamındaki suçların beş yıl içinde tekrar işlenmesi hâlinde fail hakkında aynı
 suçtan dolayı önödeme hükümleri uygulanmaz",75,Madde 75, fıkra kapsamındaki suçların beş yıl içinde tekrar işlenmesi hâlinde fail hakkında aynı suçtan önödeme hükümleri uygulanmaz
"
 (7) (Ek: 24/11/2016-6763/12 md",75,Madde 75, ek md
") Ödemede bulunulması üzerine verilen kovuşturmaya yer olmadığına dair kararlar
 ile düşme kararları, bunlara mahsus bir sisteme kaydedilir",75,Madde 75, ödemede bulunulması üzerine verilen kovuşturmaya yer olmadığına kararlar düşme kararları bunlara mahsus sisteme kaydedilir
" Bu kayıtlar, ancak bir soruşturma veya kovuşturmayla bağlantılı
 olarak Cumhuriyet savcısı, hâkim veya mahkeme tarafından istenmesi hâlinde, bu maddede belirtilen amaç için kullanılabilir",75,Madde 75, kayıtlar soruşturma kovuşturmayla bağlantılı cumhuriyet savcısı hâkim mahkeme istenmesi hâlinde maddede belirtilen amaç kullanılabilir
